,date,price_change,relative_volume,sequence
0,2016-08-29,0.0,8.95646399757,0.0
1,2016-08-29,1.06007067138,291.259662415,1.0
2,2016-08-29,1.94346289753,630.893309023,2.0
3,2016-08-29,1.59010600707,74.3593060995,3.0
4,2016-08-29,1.23674911661,11.3645556296,4.0
5,2016-08-29,1.23674911661,3.49098474529,5.0
6,2016-08-29,0.883392226148,7.53585685392,6.0
7,2016-08-29,1.41342756184,81.5091759753,7.0
8,2016-08-29,1.41342756184,-15.2614636985,8.0
9,2016-08-29,1.41342756184,-25.6793081286,9.0
10,2016-08-29,1.59010600707,7.98991113446,10.0
11,2016-08-29,1.94346289753,193.580545445,11.0
12,2016-08-29,2.29681978799,203.918258138,12.0
13,2016-08-29,2.12014134276,184.644055137,13.0
14,2016-08-29,1.94346289753,50.2821808852,14.0
15,2016-08-29,2.12014134276,133.288492075,15.0
16,2016-08-29,1.7667844523,-10.5838249358,16.0
17,2016-08-29,1.59010600707,-24.7087413301,17.0
18,2016-08-29,1.59010600707,-12.849722851,18.0
19,2016-08-29,1.7667844523,51.9527287851,19.0
20,2016-08-29,1.94346289753,68.2257538865,20.0
21,2016-08-29,1.94346289753,186.25096013,21.0
22,2016-08-29,1.7667844523,43.8935409099,22.0
23,2016-08-29,1.7667844523,161.18271413,23.0
24,2016-08-29,2.29681978799,181.909836252,24.0
25,2016-08-29,1.7667844523,40.3670785863,25.0
26,2016-08-29,1.7667844523,-6.1884730067,26.0
27,2016-08-29,1.59010600707,26.2248833575,27.0
28,2016-08-29,1.59010600707,-22.8637594344,28.0
29,2016-08-29,1.23674911661,14.742055691,29.0
30,2016-08-29,1.06007067138,87.3306927978,30.0
31,2016-08-29,0.883392226148,108.524687886,31.0
32,2016-08-29,1.23674911661,133.889187373,32.0
33,2016-08-29,1.06007067138,18.1804290754,33.0
34,2016-08-29,0.530035335689,117.204794789,34.0
35,2016-08-29,1.06007067138,301.809148708,35.0
36,2016-08-29,0.883392226148,19.6986173693,36.0
37,2016-08-29,1.06007067138,-38.1759376792,37.0
38,2016-08-29,1.23674911661,-30.6661868913,38.0
39,2016-08-29,1.06007067138,-22.6442786698,39.0
40,2016-08-29,1.41342756184,-46.0263108153,40.0
